Sl No, Employers, Indian Employer Website,Worked,Direct/Client,Market Sector,Company Type,Company Size, Skillset,Info,
1,Texas Instruments,https://careers.ti.com/,,,,,,,,
2,Tech Mahindra,https://www.techmahindra.com/careers/,,,,,,,,
3,Bosch,https://www.bosch.in/careers/,,,,,,,,
4,Waferspace,https://www.waferspace.com/careers.php,,,,,,,,
5,HCLTech,https://www.hcltech.com/careers/careers-in-india,,,,,,,,
6,LTTS,https://www.ltts.com/careers/india,,,,,,,,
7,Crevavi,https://mobility.crevavi.com/careers/,,,,,,,,
8,Luxoft,https://career.luxoft.com/locations/india,,,,,,,,
9,,,,,,,,,,





16,List of Suppliers,https://en.wikipedia.org/wiki/List_of_the_largest_automotive_suppliers
17,List of OEMs,https://en.wikipedia.org/wiki/List_of_automobile_manufacturers_of_India
