Sl No,Open Source,Github,AUTOSAR FRAMEWORK/NON-AUTOSAR FRAMEWORK,INFO,
1,openAUTOSAR,https://github.com/openAUTOSAR,AUTOSAR FRAMEWORK,,
2,openAUTOSAR classic-platform,https://github.com/openAUTOSAR/classic-platform,AUTOSAR FRAMEWORK,,
3,arc,http://my.arccore.com/hg/arc/,AUTOSAR FRAMEWORK,,
4,arccore,https://github.com/inniyah/arccore,AUTOSAR FRAMEWORK,,
5,openAUTOSAR-Da-Vinci,https://github.com/Da-Vinci-Engineering/openAUTOSAR,AUTOSAR FRAMEWORK,,
6,autosar,https://github.com/topics/autosar,AUTOSAR FRAMEWORK,,
7,artop,https://www.artop.org/,AUTOSAR FRAMEWORK,,
8,comasso,https://www.comasso.org/,AUTOSAR FRAMEWORK,,
9,comasso info,https://www.comasso.org/comasso_downloads,AUTOSAR FRAMEWORK,,
1,Software Defined Vehicle,https://github.com/SoftwareDefinedVehicle,NON-AUTOSAR FRAMEWORK,,
2,GENIVI,https://github.com/GENIVI,NON-AUTOSAR FRAMEWORK,,
4,COVESA,https://github.com/COVESA,NON-AUTOSAR FRAMEWORK,,
5,openpilot,https://github.com/commaai/openpilot,NON-AUTOSAR FRAMEWORK,,
6,opencv,https://github.com/opencv,NON-AUTOSAR FRAMEWORK,,
7,automotive-grade-linux,https://github.com/automotive-grade-linux,NON-AUTOSAR FRAMEWORK,,
8,car-codelabs,https://github.com/android/car-codelabs,NON-AUTOSAR FRAMEWORK,,
9,Android Automotive OS ,https://source.android.com/docs/automotive/start/releases,NON-AUTOSAR FRAMEWORK,,
10,openxc-android,https://github.com/openxc/openxc-android,NON-AUTOSAR FRAMEWORK,,
11,apollo,https://github.com/ApolloAuto/apollo,NON-AUTOSAR FRAMEWORK,,
12,autoware,https://github.com/autowarefoundation/autoware,NON-AUTOSAR FRAMEWORK,,
13,ros2,https://github.com/ros2,NON-AUTOSAR FRAMEWORK,,
14,Open-Vehicle-Monitoring-System-3,https://github.com/openvehicles/Open-Vehicle-Monitoring-System-3,NON-AUTOSAR FRAMEWORK,,
15,acrn-hypervisor,https://github.com/projectacrn/acrn-hypervisor,NON-AUTOSAR FRAMEWORK,,
16,xen,https://github.com/xen-project/xen,NON-AUTOSAR FRAMEWORK,,
17,jailhouse,https://github.com/siemens/jailhouse,NON-AUTOSAR FRAMEWORK,,
18,glTF,https://github.com/KhronosGroup/glTF,NON-AUTOSAR FRAMEWORK,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,
2,,,,,


